id,registration,model_id,airline_id,location_id,livery,tags,remark,folder
88,B-5523,B737NG,CSH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\上海航空\B-5523_海口
89,B-7862,B737NG,CSH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\上海航空\B-7862_海口
90,B-5311,B737NG,EPA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\东海航空\B-5311_海口
91,B-1790,B737NG,CES,ZUUU,孔雀,Special Livery,,E:\摄像存档\航空摄影\B737NG\中国东方航空\B-1790_孔雀_双流
92,B-1953,B737NG,CSN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国南方航空\B-1953_海口
93,B-1980,B737NG,CSN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国南方航空\B-1980_海口
94,B-2695,B737NG,CSN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国南方航空\B-2695_海口
95,B-5021,B737NG,CSN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国南方航空\B-5021_海口
96,B-5285,B737NG,CSN,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国南方航空\B-5285_海口
97,B-1942,B737NG,CCA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国国际航空\B-1942_海口
98,B-5426,B737NG,CCA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国国际航空\B-5426_海口
99,B-5759,B737NG,CCA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国国际航空\B-5759_海口
100,B-6106,B737NG,CCA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国国际航空\B-6106_海口
101,B-1311,B737NG,CUA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国联合航空\B-1311_海口
102,B-1425,B737NG,CUA,ZJHK,正定,Special Livery,,E:\摄像存档\航空摄影\B737NG\中国联合航空\B-1425_正定_海口
103,B-1465,B737NG,CUA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国联合航空\B-1465_海口
104,B-7562,B737NG,CUA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\中国联合航空\B-7562_海口
105,B-6995,B737NG,CUH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\乌鲁木齐航空\B-6995_海口
106,B-7198,B737NG,CUH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\乌鲁木齐航空\B-7198_海口
107,B-6990,B737NG,JYH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\九元航空\B-6990_海口
108,B-6991,B737NG,JYH,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\九元航空\B-6991_海口
109,B-5688,B737NG,CXA,ZJHK,第一百架,Special Livery,,E:\摄像存档\航空摄影\B737NG\厦门航空\B-5688_第一百架_海口
110,B-6818,B737NG,CXA,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\厦门航空\B-6818_海口
111,B-5729,B737NG,CCD,ZJHK,,,,E:\摄像存档\航空摄影\B737NG\大连航空\B-5729_海口
